city_cn,city_id,name,start_date,end_date,sex,ethnic,birthdate,birthprovince,birthcity,birthcounty,educ,partydate
晋城市,1405,王清宪,2011-01-01,2013-02-01,男,汉族,1963-07-01,河北省,邯郸市,永年县,博士,  8/1/1986
晋城市,1405,刘润民,2013-02-01,2016-09-01,男,汉族,1968-11-01,山西省,吕梁市,临县,博士,  8/1/1987
晋城市,1405,王茂设,2007-12-01,2011-01-01,男,汉族,1957-08-01,山西省,临汾市,安泽县,硕士,  4/1/1982
晋城市,1405,刘锋,2017-12-01,2018-01-01,男,汉族,1964-08-01,湖南省,衡阳市,n/a,本科？,12/1/1985
晋城市,1405,武宏文,2016-09-01,2017-12-01,男,汉族,1962-08-01,山西省,孝义市,,大专,  1/1/1990
朔州市,1406,李正印,2012-01-01,2013-09-01,男,汉族,1962-08-01,山西省,长治市,武乡县,硕士,  6/1/1984
朔州市,1406,冯改朵,2008-02-01,2011-11-01,女,汉族,1957-08-01,山西省,运城市,稷山县,硕士,  9/1/1976
朔州市,1406,李海渊,2014-04-01,2016-07-01,男,汉族,1964-10-01,山西省,吕梁市,孝义市,本科,  4/1/1987
朔州市,1406,高键,2018-01-01,2018-01-01,男,汉族,1969-10-01,山西省,n/a,稷山县,硕士,1/1/1991
朔州市,1406,陈振亮,2017-05-01,2017-12-01,男,汉族,1963-08-01,山西省,n/a,寿阳县,博士,6/1/1984
朔州市,1406,刘志宏,2016-08-01,2017-05-01,男,汉族,1960-01-01,山西省,晋中市,,本科（？）,7/1/1978
晋中市,1407,吴清海,2011-04-01,2013-07-01,男,汉族,1962-11-01,陕西省,西安市,临潼区,本科,  3/1/1992
晋中市,1407,张璞,2007-05-01,2011-04-01,男,汉族,1956-09-01,山西省,临汾市,,硕士,  6/1/1976
晋中市,1407,胡玉亭,2013-07-01,2016-07-01,男,汉族,1964-07-01,山西省,忻州市,五台县,硕士,12/31/1899
晋中市,1407,赵建平,2018-02-01,2019-03-01,男,汉族,1969-06-02,山西省,忻州市,岢岚县,大专,11/1/1988
晋中市,1407,常书铭,2019-04-01,2018-01-01,男,汉族,1992-06-01,山西省,泽州市,,博士,3/1/1973
晋中市,1407,王成,2016-07-01,2018-01-01,男,汉族,1963-02-01,山西省,朔州市,,博士,1/1/1991
运城市,1408,王安庞,2008-02-01,2013-02-01,男,汉族,1958-05-01,山西省,长治市,长子县,硕士,  3/1/1978
运城市,1408,王清宪,2013-02-01,2016-05-01,男,汉族,1963-07-01,河北省,邯郸市,永年县,博士,  8/1/1986
运城市,1408,陈振亮,2016-05-01,2017-05-01,男,汉族,1963-08-01,山西省,n/a,寿阳县,博士,6/1/1984
运城市,1408,朱鹏,2017-05-01,2018-01-01,男,汉族,1968-03-01,湖北省,n/a,郧西县,硕士,5/1/1988
忻州市,1409,李平社,2008-01-01,2012-01-01,男,汉族,1955-12-01,山西省,晋城市,阳城县,硕士,  5/1/1978
忻州市,1409,郑连生,2012-01-01,2018-01-01,男,汉族,1965-04-01,山西省,长治市,潞城县,硕士,  2/1/1985
吕梁市,1411,丁雪峰,2012-01-01,2013-05-01,男,汉族,1963-09-01,山西省,大同市,左云县,硕士,  8/1/1986
吕梁市,1411,董岩,2014-02-01,2015-10-23,男,汉族,1958-03-01,黑龙江省,哈尔滨市,宾县,硕士, 12/1/1976
吕梁市,1411,张九萍,2009-03-01,2012-01-01,女,汉族,1963-04-01,山西省,晋中市,祁县,硕士,  5/1/1985
吕梁市,1411,王立伟,2015-12-01,2018-01-01,男,汉族,1963-01-01,山西省,,定襄县,本科,8/1/1984
乌海市,1503,艾丽华,2015-01-01,2016-04-01,女,蒙古族,1986-06-01,内蒙古自治区,赤峰市,翁牛特旗,本科,  6/1/1986
乌海市,1503,侯凤岐,2008-02-01,2013-07-01,男,汉族,1962-03-01,陕西省,榆林市,府谷,硕士,12/31/1899
乌海市,1503,包钢,2013-07-01,2013-12-01,男,蒙古族,1969-05-01,辽宁省,阜新市,阜新蒙古族自治县,本科, 12/1/1988
乌海市,1503,毕力夫,2013-12-01,2015-01-01,男,蒙古族,1962-12-01,内蒙古自治区,呼和浩特市,,博士, 12/1/1976
乌海市,1503,高世宏,2016-12-01,2019-12-01,男,汉族,1969-12-01,河北省,辛集市,,硕士,12/1/2020
乌海市,1503,史万钧,2016-04-01,2016-12-01,男,蒙古族,1963-04-01,内蒙古自治区,赤峰市,,硕士,1/1/1985
通辽市,1505,胡达古拉,2010-06-02,2014-08-01,女,蒙古族,1967-03-01,内蒙古自治区,通辽市,科左中旗,硕士,12/31/1899
通辽市,1505,傅铁钢,2006-10-01,2010-06-01,男,汉族,1953-04-01,黑龙江省,齐齐哈尔市,讷河市,硕士,  1/1/1977
通辽市,1505,郝茂荣,2016-12-01,2018-01-01,男,蒙古族,1963-11-01,内蒙古自治区,包头市,,博士,7/1/1987
通辽市,1505,包振玉,2014-08-01,2016-12-01,男,蒙古族,1962-09-01,内蒙古自治区,兴安盟,科右前旗,本科, 11/1/1992
呼伦贝尔市,1507,张利平,2011-01-01,2016-03-01,男,汉族,1960-09-01,内蒙古自治区,赤峰市,松山区,本科,  7/1/1987
呼伦贝尔市,1507,罗志虎,2007-03-01,2011-01-01,男,蒙古族,1964-08-01,内蒙古自治区,阿拉善盟,阿拉善左旗,硕士,  3/1/1985
呼伦贝尔市,1507,于立新,2016-03-01,2018-03-01,男,蒙古族,1965-11-01,内蒙古自治区,赤峰市,,本科,  6/1/1992
呼伦贝尔市,1507,姜宏,2018-03-01,2018-01-01,女,汉族,1971-04-01,辽宁省,通辽市,科尔沁区,硕士,1/1/1992
巴彦淖尔市,1508,何永林,2011-02-01,2011-11-01,男,汉族,1962-08-01,山西省,临汾市,霍州,硕士,  4/1/1991
巴彦淖尔市,1508,王波,2008-03-01,2010-04-01,男,汉族,1958-10-01,内蒙古自治区,赤峰市,翁牛特旗,硕士,  4/1/1986
巴彦淖尔市,1508,何永林,2010-04-01,2011-02-01,男,汉族,1962-08-01,山西省,临汾市,霍州,硕士,  4/1/1991
巴彦淖尔市,1508,张晓兵,2016-10-01,2018-01-01,男,汉族,1971-11-01,山东省,莱阳市,,博士,6/1/1991
巴彦淖尔市,1508,段志强,2011-11-01,2016-11-01,男,蒙古族,1962-07-01,内蒙古自治区,兴安盟,扎赉特旗,硕士,  7/1/1987
乌兰察布市,1509,陶淑菊,2011-03-01,2016-04-01,女,蒙古族,1962-03-01,内蒙古自治区,兴安盟,科尔沁右翼前旗,硕士,  7/1/1983
乌兰察布市,1509,王学丰,2010-07-01,2011-03-01,男,汉族,1963-06-01,陕西省,榆林市,神木县,硕士,  1/1/1989
乌兰察布市,1509,李万忠,2006-09-01,2010-07-01,男,汉族,1954-10-01,内蒙古自治区,锡林郭勒盟,多伦县,硕士,12/31/1899
乌兰察布市,1509,费东斌,2016-10-01,2018-01-01,男,汉族,1970-08-01,辽宁,锦州市,,硕士,3/1/1996
乌兰察布市,1509,艾丽华,2016-04-01,2016-10-01,女,蒙古族,1964-09-01,内蒙古自治区,,,硕士,6/1/1986
兴安盟,1522,邓月楼,2010-04-01,2013-04-01,男,蒙古族,1960-03-01,内蒙古自治区,赤峰市,喀喇沁旗,本科,  6/1/1984
兴安盟,1522,杜学军,2013-05-01,2015-10-01,男,蒙古族,1965-05-01,内蒙古自治区,呼伦贝尔市,莫力达瓦达斡尔族自治旗,硕士,  9/1/1994
兴安盟,1522,郭健,2006-09-01,2010-04-01,男,蒙古族,1958-02-01,内蒙古自治区,赤峰市,阿鲁科尔沁旗,专科,  6/1/1976
兴安盟,1522,韩宪,2015-10-01,2016-07-01,男,蒙古族,1970-04-01,内蒙古自治区,,扎鲁特旗,硕士,  6/1/1988
兴安盟,1522,奇巴图,2016-07-01,2018-01-01,男,蒙古人,1971-09-01,内蒙古自治区,,准格尔旗,硕士,1/1/1995
锡林郭勒盟,1525,张国华(河北省),2008-03-01,2010-10-01,男,汉族,1959-02-01,河北省,沧州市,东光县,硕士, 11/1/1986
锡林郭勒盟,1525,付万惠,2015-04-01,2017-06-01,男,蒙古族,1960-02-01,内蒙古自治区,兴安盟,科右前旗,本科,  6/1/1986
锡林郭勒盟,1525,张院忠,2013-06-01,2015-04-01,男,汉族,1959-11-01,内蒙古自治区,包头市,,本科,12/31/1899
锡林郭勒盟,1525,刘俊臣,2010-10-01,2013-05-01,男,汉族,1963-05-01,河南省,驻马店市,上蔡县,博士,  5/1/1985
锡林郭勒盟,1525,霍照良,2017-07-01,2018-01-01,男,蒙古族,1967-02-01,辽宁省,阜新市,,本科,7/1/1990
阿拉善盟,1529,代钦,2018-10-01,2018-01-01,男,蒙古族,1967-04-01,内蒙古自治区,兴安盟,科右中旗,本科,
阿拉善盟,1529,冯玉臻,2011-11-01,2017-06-01,男,汉族,1963-07-01,内蒙古自治区,呼和浩特市,和林格尔县,硕士,6/1/1989
阿拉善盟,1529,鲍常青,2008-02-01,2011-02-01,男,蒙古族,1955-03-01,内蒙古自治区,兴安盟,科右前旗,专科,9/1/1980
阿拉善盟,1529,杨博,2018-04-01,2018-09-01,男,汉族,1968-09-01,内蒙古自治区,鄂尔多斯市,达拉特旗,硕士,6/1/1991
阿拉善盟,1529,赵文亮,2017-06-01,2018-04-01,男,汉族,1965-12-01,内蒙古自治区,鄂尔多斯市,,专科,12/1/1990
阜新市,2109,潘利国,2006-01-01,2010-12-01,男,汉族,1957-08-01,辽宁省,,,硕士,6/1/1985
阜新市,2109,杨忠林,2013-01-01,2016-09-01,男,蒙古族,1960-03-01,辽宁省,朝阳市,建平县,硕士,1/1/1900
阜新市,2109,齐继慧,2010-12-01,2013-01-01,男,汉族,1954-05-01,辽宁省,锦州市,,硕士,8/1/1974
阜新市,2109,张成中,2017-12-01,2018-01-01,男,汉族,1970-10-01,遼寧省,蓋州市,n/a,硕士,6/1/1998
阜新市,2109,甄杰,2016-09-01,2017-12-01,男,满族,1968-03-01,n/a,n/a,n/a,硕士,5/1/1997
辽阳市,2110,王正谱,2010-10-01,2014-09-01,男,汉族,1963-08-01,辽宁省,,,本科,4/1/1987
辽阳市,2110,王一兵,2018-08-01,2018-01-01,男,汉族,1964-01-01,,,,博士,4/1/1986
辽阳市,2110,唐志国,2004-09-01,2010-10-01,男,汉族,1954-10-01,天津市,宝坻区,,本科,6/1/1975
辽阳市,2110,裴伟东,2014-09-01,2018-02-01,男,汉族,1964-10-01,内蒙古自治区,赤峰市,宁城县,硕士,1/1/1989
铁岭市,2112,李士伟,2017-12-01,2019-04-01,男,满族,1964-10-01,辽宁省,沈阳市,,本科,1/1/1986
铁岭市,2112,林强,2013-02-01,2014-09-01,男,汉族,1969-05-01,河北省,秦皇岛市,青龙县,博士,1/1/1991
铁岭市,2112,姜周,2016-03-01,2016-12-01,男,汉族,1969-06-01,,,,博士,4/1/1996
铁岭市,2112,隋显利,2019-04-01,2018-01-01,男,汉族,1964-02-01,辽宁省,辽阳市,,本科,7/1/1985
铁岭市,2112,吴野松,2011-05-01,2013-02-01,男,汉族,1958-10-01,辽宁省,辽阳市,,硕士,7/1/1983
铁岭市,2112,张竞强,2005-07-01,2011-05-01,男,汉族,1951-12-01,辽宁省,葫芦岛市,,硕士,6/1/1986
铁岭市,2112,孙轶,2014-09-01,2016-02-01,男,汉族,1958-12-01,辽宁省,朝阳市,凌源市,硕士,1/1/1981
朝阳市,2113,刘始杰,2016-10-01,2017-12-01,男,汉族,1960-04-01,山东省,烟台市,招远市,硕士,4/1/1984
朝阳市,2113,高伟,2017-12-01,2019-05-01,男,汉族,1964-08-01,辽宁省,铁岭市,,硕士,11/1/1984
朝阳市,2113,张铁民,2006-02-01,2010-08-01,男,汉族,1960-08-01,河北省,保定市,清苑县,硕士,12/1/1984
朝阳市,2113,于言良,2013-02-01,2016-10-01,男,汉族,1963-01-01,吉林省,通化市,,博士,7/1/1986
朝阳市,2113,谢卫东,2019-05-01,2018-01-01,男,汉族,1964-05-01,辽宁省,葫芦岛市,建昌县,硕士,6/1/1990
朝阳市,2113,王明玉,2010-08-01,2013-01-01,男,汉族,1964-10-01,辽宁省,盘锦市,,硕士,6/1/1987
四平市,2203,王振才,2015-01-01,2016-11-01,男,汉族,1963-09-01,吉林省,通化市,集安市,硕士,1/1/1900
四平市,2203,韩福春,2016-11-01,2018-04-01,男,汉族,1965-02-01,吉林省,,长岭县,本科(?),5/1/1995
四平市,2203,石国祥,2010-04-01,2015-01-01,男,回族,1961-03-01,吉林省,长春市,,硕士,2/1/1985
四平市,2203,郭灵计,2018-04-01,2018-01-01,男,汉族,1968-07-01,山西省,,隰县,硕士,(?)
四平市,2203,刘喜杰,2008-05-01,2010-04-01,男,汉族,1962-10-01,吉林省,松原市,前郭县,硕士,11/1/1984
辽源市,2204,王兆华,2004-01-01,2010-10-01,男,汉族,1951-08-01,吉林省,通化市,辉南县,硕士,10/1/1970
辽源市,2204,王立平,2015-04-01,2018-03-01,男,汉族,1967-07-01,,,,硕士,
辽源市,2204,孙弘,2018-04-01,2018-01-01,女,汉族,1970-07-01,,,,博士,
辽源市,2204,金育辉,2011-06-01,2015-04-01,男,汉族,1966-01-01,吉林省,长春市,榆树县,博士,9/1/1986
辽源市,2204,姜有为,2010-07-01,2011-06-01,男,汉族,1967-09-01,吉林省,长春市,农安县,硕士,6/1/1994
通化市,2205,刘化文,2016-10-01,2019-03-01,男,汉族,1969-10-01,吉林省,长春市,农安县,硕士,
通化市,2205,李平,2019-03-01,2018-01-01,男,汉族,1970-01-01,山东省,枣庄市,,硕士,3/1/1995
